# _1100_cz_vpB12_set	t_cz_set	avg_S_North	su_S_North
# "_1100_cz_vpB12"	"t_cz"	"avg_S_North"	"su_S_North"
# 21	101
5	45	157.284749348958	0.586666666666667
5	46.5	132.890828450521	0.22
5	48	127.862752278646	0.143333333333333
5	49.5	140.037027994792	0.326666666666667
5	51	158.212890625	0.603333333333333
5	52.5	172.7392578125	0.823333333333333
5	54	168.849487304688	0.756666666666667
5	55.5	154.615885416667	0.576666666666667
5	57	137.288208007812	0.306666666666667
5	58.5	129.723103841146	0.206666666666667
5	60	138.889770507812	0.323333333333333
5	61.5	153.664957682292	0.546666666666667
5	63	171.557210286458	0.82
5	64.5	172.563680013021	0.856666666666667
5	66	155.030721028646	0.576666666666667
5	67.5	138.495279947917	0.296666666666667
5	69	127.883911132812	0.15
5	70.5	132.607625325521	0.226666666666667
5	72	157.239786783854	0.593333333333333
5	73.5	170.938313802083	0.82
5	75	173.161417643229	0.846666666666667
5	76.5	160.514119466146	0.673333333333333
5	78	141.807454427083	0.393333333333333
5	79.5	126.452840169271	0.146666666666667
5	81	131.396484375	0.206666666666667
5	82.5	156.876627604167	0.58
5	84	170.248006184896	0.78
5	85.5	174.602864583333	0.853333333333333
5	87	161.785481770833	0.666666666666667
5	88.5	144.465535481771	0.403333333333333
5	90	128.611653645833	0.17
5	91.5	129.088948567708	0.193333333333333
5	93	148.4375	0.466666666666667
5	94.5	165.822550455729	0.736666666666667
5	96	173.310139973958	0.843333333333333
5	97.5	171.495361328125	0.793333333333333
5	99	149.66552734375	0.48
5	100.5	133.258870442708	0.22
5	102	133.3984375	0.223333333333333
5	103.5	147.328287760417	0.436666666666667
5	105	165.42236328125	0.713333333333333
5	106.5	172.930094401042	0.85
5	108	172.293904622396	0.84
5	109.5	153.089192708333	0.54
5	111	133.372599283854	0.23
5	112.5	134.780069986979	0.27
5	114	139.344889322917	0.33
5	115.5	159.073079427083	0.623333333333333
5	117	170.039469401042	0.816666666666667
5	118.5	171.100870768229	0.823333333333333
5	120	158.764038085938	0.613333333333333
5	121.5	139.285481770833	0.333333333333333
5	123	127.729085286458	0.176666666666667
5	124.5	139.809163411458	0.346666666666667
5	126	156.793009440104	0.606666666666667
5	127.5	172.789103190104	0.823333333333333
5	129	174.668986002604	0.84
5	130.5	158.207397460938	0.626666666666667
