# vP3_Q2Q3_AC_set	waittime_set	su_S_North
# "vP3_Q2Q3_AC"	"waittime"	"su_S_North"
# 21	61
34	90	0.825

33.5	0	0.2
33.5	1.5	0.175
33.5	3	0.24
33.5	4.5	0.505
33.5	6	0.75
33.5	7.5	0.865
33.5	9	0.845
33.5	10.5	0.67
33.5	12	0.42
33.5	13.5	0.24
33.5	15	0.16
33.5	16.5	0.295
33.5	18	0.45
33.5	19.5	0.775
33.5	21	0.83
33.5	22.5	0.865
33.5	24	0.67
33.5	25.5	0.49
33.5	27	0.28
33.5	28.5	0.2
33.5	30	0.22
33.5	31.5	0.44
33.5	33	0.705
33.5	34.5	0.875
33.5	36	0.845
33.5	37.5	0.78
33.5	39	0.535
33.5	40.5	0.325
33.5	42	0.19
33.5	43.5	0.23
33.5	45	0.345
33.5	46.5	0.63
33.5	48	0.755
33.5	49.5	0.895
33.5	51	0.795
33.5	52.5	0.61
33.5	54	0.45
33.5	55.5	0.15
33.5	57	0.12
33.5	58.5	0.295
33.5	60	0.545
33.5	61.5	0.765
33.5	63	0.885
33.5	64.5	0.825
33.5	66	0.68
33.5	67.5	0.44
33.5	69	0.225
33.5	70.5	0.12
33.5	72	0.34
33.5	73.5	0.505
33.5	75	0.73
33.5	76.5	0.82
33.5	78	0.85
33.5	79.5	0.715
33.5	81	0.465
33.5	82.5	0.315
33.5	84	0.125
33.5	85.5	0.185
33.5	87	0.46
33.5	88.5	0.705
33.5	90	0.88

33	0	0.265
33	1.5	0.175
33	3	0.265
33	4.5	0.425
33	6	0.64
33	7.5	0.865
33	9	0.805
33	10.5	0.705
33	12	0.5
33	13.5	0.355
33	15	0.22
33	16.5	0.27
33	18	0.415
33	19.5	0.61
33	21	0.81
33	22.5	0.88
33	24	0.755
33	25.5	0.545
33	27	0.365
33	28.5	0.195
33	30	0.28
33	31.5	0.33
33	33	0.625
33	34.5	0.815
33	36	0.84
33	37.5	0.79
33	39	0.675
33	40.5	0.36
33	42	0.21
33	43.5	0.155
33	45	0.24
33	46.5	0.59
33	48	0.74
33	49.5	0.855
33	51	0.865
33	52.5	0.685
33	54	0.44
33	55.5	0.21
33	57	0.15
33	58.5	0.295
33	60	0.55
33	61.5	0.71
33	63	0.845
33	64.5	0.86
33	66	0.725
33	67.5	0.505
33	69	0.235
33	70.5	0.205
33	72	0.275
33	73.5	0.43
33	75	0.705
33	76.5	0.79
33	78	0.79
33	79.5	0.785
33	81	0.525
33	82.5	0.315
33	84	0.2
33	85.5	0.19
33	87	0.4
33	88.5	0.655
33	90	0.82

32.5	0	0.31
32.5	1.5	0.2
32.5	3	0.215
32.5	4.5	0.365
32.5	6	0.615
32.5	7.5	0.765
32.5	9	0.855
32.5	10.5	0.805
32.5	12	0.645
32.5	13.5	0.335
32.5	15	0.215
32.5	16.5	0.215
32.5	18	0.28
32.5	19.5	0.52
32.5	21	0.735
32.5	22.5	0.835
32.5	24	0.81
32.5	25.5	0.64
32.5	27	0.44
32.5	28.5	0.23
32.5	30	0.2
32.5	31.5	0.295
32.5	33	0.46
32.5	34.5	0.735
32.5	36	0.82
32.5	37.5	0.82
32.5	39	0.66
32.5	40.5	0.46
32.5	42	0.2
32.5	43.5	0.15
32.5	45	0.31
32.5	46.5	0.475
32.5	48	0.72
32.5	49.5	0.85
32.5	51	0.85
32.5	52.5	0.695
32.5	54	0.485
32.5	55.5	0.31
32.5	57	0.21
32.5	58.5	0.135
32.5	60	0.4
32.5	61.5	0.655
32.5	63	0.8
32.5	64.5	0.885
32.5	66	0.735
32.5	67.5	0.515
32.5	69	0.28
32.5	70.5	0.14
32.5	72	0.205
32.5	73.5	0.45
32.5	75	0.62
32.5	76.5	0.835
32.5	78	0.865
32.5	79.5	0.785
32.5	81	0.6
32.5	82.5	0.355
32.5	84	0.14
32.5	85.5	0.16
32.5	87	0.365
32.5	88.5	0.68
32.5	90	0.78

32	0	0.44
32	1.5	0.18
32	3	0.17
32	4.5	0.295
32	6	0.42
32	7.5	0.765
32	9	0.855
32	10.5	0.84
32	12	0.74
32	13.5	0.53
32	15	0.255
32	16.5	0.155
32	18	0.27
32	19.5	0.49
32	21	0.675
32	22.5	0.815
32	24	0.89
32	25.5	0.78
32	27	0.64
32	28.5	0.315
32	30	0.2
32	31.5	0.235
32	33	0.405
32	34.5	0.565
32	36	0.82
32	37.5	0.835
32	39	0.77
32	40.5	0.565
32	42	0.27
32	43.5	0.135
32	45	0.165
32	46.5	0.395
32	48	0.7
32	49.5	0.8
32	51	0.885
32	52.5	0.75
32	54	0.53
32	55.5	0.245
32	57	0.145
32	58.5	0.27
32	60	0.4
32	61.5	0.59
32	63	0.775
32	64.5	0.89
32	66	0.755
32	67.5	0.505
32	69	0.325
32	70.5	0.23
32	72	0.195
32	73.5	0.415
32	75	0.625
32	76.5	0.81
32	78	0.885
32	79.5	0.74
32	81	0.615
32	82.5	0.32
32	84	0.2
32	85.5	0.195
32	87	0.32
32	88.5	0.595
32	90	0.785
