# vP2_set	vP1_set	ch1	ch2	ch3	ch4
# "vP2"	"vP1"	"ch1"	"ch2"	"ch3"	"ch4"
# 61	61
15	37	-58.251953125	123.6572265625	236.41357421875	-252.45361328125
15	38	-56.65283203125	132.861328125	237.90283203125	-254.8828125
15	39	-57.06787109375	128.759765625	239.55078125	-255.06591796875
15	40	-56.11572265625	125.42724609375	231.26220703125	-254.1259765625
15	41	-69.73876953125	124.03564453125	208.19091796875	-247.119140625
15	42	-73.33984375	130.50537109375	191.259765625	-249.755859375
15	43	-71.044921875	120.7763671875	194.54345703125	-255.3466796875
15	44	-72.5830078125	127.7099609375	192.56591796875	-258.58154296875
15	45	-72.86376953125	122.705078125	192.51708984375	-254.30908203125
15	46	-71.337890625	126.3427734375	190.0146484375	-250.72021484375
15	47	-70.6787109375	131.7138671875	183.87451171875	-256.89697265625
15	48	-77.35595703125	127.880859375	186.1083984375	-251.904296875
15	49	-77.25830078125	121.13037109375	187.24365234375	-256.7626953125
15	50	-72.5341796875	127.69775390625	182.91015625	-249.8779296875
15	51	-73.1689453125	122.55859375	184.16748046875	-257.3486328125
15	52	-77.0751953125	126.94091796875	184.72900390625	-257.09228515625
15	53	-77.13623046875	130.28564453125	183.41064453125	-257.62939453125
15	54	-76.45263671875	121.76513671875	186.65771484375	-257.80029296875
15	55	-78.86962890625	128.94287109375	180.77392578125	-258.7890625
15	56	-79.5166015625	123.27880859375	179.30908203125	-256.94580078125
15	57	-77.9052734375	126.220703125	181.87255859375	-256.5185546875
15	58	-72.37548828125	128.564453125	183.75244140625	-253.1982421875
15	59	-77.89306640625	125.830078125	181.65283203125	-257.82470703125
15	60	-80.23681640625	122.35107421875	177.0263671875	-251.416015625

16	0	-81.0546875	142.24853515625	214.7705078125	-194.3603515625
16	1	-79.9072265625	133.65478515625	217.95654296875	-206.92138671875
16	2	-76.15966796875	141.11328125	219.95849609375	-216.88232421875
16	3	-73.27880859375	139.84375	222.03369140625	-218.51806640625
16	4	-72.4365234375	135.14404296875	219.37255859375	-220.47119140625
16	5	-66.357421875	135.1318359375	226.96533203125	-220.00732421875
16	6	-75.732421875	135.11962890625	228.41796875	-227.197265625
16	7	-72.216796875	132.14111328125	226.89208984375	-229.5166015625
16	8	-63.623046875	132.14111328125	228.662109375	-231.7138671875
16	9	-68.115234375	133.7158203125	230.9326171875	-226.7822265625
16	10	-71.9482421875	129.04052734375	230.029296875	-234.7412109375
16	11	-61.85302734375	135.05859375	226.171875	-232.6171875
16	12	-68.1884765625	135.85205078125	229.47998046875	-230.2734375
16	13	-62.75634765625	139.55078125	230.6640625	-236.669921875
16	14	-66.00341796875	127.28271484375	234.3994140625	-238.24462890625
16	15	-64.48974609375	133.92333984375	232.2265625	-241.73583984375
16	16	-62.3046875	131.82373046875	232.31201171875	-245.0439453125
16	17	-60.302734375	130.56640625	232.3486328125	-238.0859375
16	18	-65.00244140625	132.4462890625	230.7861328125	-235.546875
16	19	-65.73486328125	135.888671875	231.84814453125	-238.9404296875
16	20	-63.63525390625	128.662109375	231.53076171875	-237.7197265625
16	21	-64.0625	136.14501953125	233.8134765625	-241.78466796875
16	22	-58.28857421875	131.18896484375	230.18798828125	-242.00439453125
16	23	-62.01171875	135.7666015625	234.60693359375	-240.41748046875
16	24	-62.2802734375	132.06787109375	233.28857421875	-242.4072265625
16	25	-68.7744140625	130.4931640625	232.84912109375	-244.53125
16	26	-56.45751953125	130.04150390625	233.16650390625	-250.15869140625
16	27	-65.71044921875	127.2216796875	235.80322265625	-245.08056640625
16	28	-62.3046875	131.67724609375	235.7421875	-247.802734375
16	29	-60.693359375	128.23486328125	237.890625	-245.71533203125
16	30	-64.80712890625	127.4169921875	235.15625	-250.30517578125
16	31	-62.41455078125	131.982421875	233.49609375	-249.20654296875
16	32	-62.68310546875	129.0771484375	236.0595703125	-253.50341796875
16	33	-61.42578125	130.82275390625	228.1494140625	-246.09375
