# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
55.7	69	0.48
55.7	70.5	0.335
55.7	72	0.245
55.7	73.5	0.16
55.7	75	0.265
55.7	76.5	0.265
55.7	78	0.365
55.7	79.5	0.525
55.7	81	0.63
55.7	82.5	0.715
55.7	84	0.82
55.7	85.5	0.865
55.7	87	0.855
55.7	88.5	0.81
55.7	90	0.68

55.6	0	0.69
55.6	1.5	0.515
55.6	3	0.31
55.6	4.5	0.195
55.6	6	0.195
55.6	7.5	0.19
55.6	9	0.255
55.6	10.5	0.395
55.6	12	0.52
55.6	13.5	0.595
55.6	15	0.75
55.6	16.5	0.855
55.6	18	0.9
55.6	19.5	0.85
55.6	21	0.79
55.6	22.5	0.615
55.6	24	0.455
55.6	25.5	0.31
55.6	27	0.2
55.6	28.5	0.175
55.6	30	0.245
55.6	31.5	0.155
55.6	33	0.47
55.6	34.5	0.55
55.6	36	0.735
55.6	37.5	0.775
55.6	39	0.845
55.6	40.5	0.86
55.6	42	0.87
55.6	43.5	0.695
55.6	45	0.615
55.6	46.5	0.495
55.6	48	0.375
55.6	49.5	0.205
55.6	51	0.225
55.6	52.5	0.265
55.6	54	0.305
55.6	55.5	0.455
55.6	57	0.58
55.6	58.5	0.77
55.6	60	0.85
55.6	61.5	0.825
55.6	63	0.87
55.6	64.5	0.79
55.6	66	0.615
55.6	67.5	0.72
55.6	69	0.37
55.6	70.5	0.305
55.6	72	0.305
55.6	73.5	0.24
55.6	75	0.19
55.6	76.5	0.375
55.6	78	0.615
55.6	79.5	0.685
55.6	81	0.78
55.6	82.5	0.815
55.6	84	0.855
55.6	85.5	0.865
55.6	87	0.76
55.6	88.5	0.605
55.6	90	0.485

55.5	0	0.665
55.5	1.5	0.525
55.5	3	0.33
55.5	4.5	0.265
55.5	6	0.19
55.5	7.5	0.22
55.5	9	0.245
55.5	10.5	0.38
55.5	12	0.525
55.5	13.5	0.725
55.5	15	0.81
55.5	16.5	0.89
55.5	18	0.85
55.5	19.5	0.855
55.5	21	0.81
55.5	22.5	0.69
55.5	24	0.44
55.5	25.5	0.335
55.5	27	0.17
55.5	28.5	0.145
55.5	30	0.175
55.5	31.5	0.365
55.5	33	0.375
55.5	34.5	0.7
55.5	36	0.66
55.5	37.5	0.745
55.5	39	0.885
55.5	40.5	0.905
55.5	42	0.81
55.5	43.5	0.715
55.5	45	0.585
55.5	46.5	0.455
55.5	48	0.28
55.5	49.5	0.23
55.5	51	0.24
55.5	52.5	0.175
55.5	54	0.325
55.5	55.5	0.425
55.5	57	0.655
55.5	58.5	0.655
55.5	60	0.865
55.5	61.5	0.835
55.5	63	0.705
55.5	64.5	0.62
55.5	66	0.51
55.5	67.5	0.4
55.5	69	0.295
55.5	70.5	0.25
55.5	72	0.18
55.5	73.5	0.265
55.5	75	0.32
55.5	76.5	0.475
55.5	78	0.615
55.5	79.5	0.78
55.5	81	0.79
55.5	82.5	0.83
55.5	84	0.765
55.5	85.5	0.74
55.5	87	0.67
55.5	88.5	0.485
55.5	90	0.44

55.4	0	0.61
55.4	1.5	0.435
55.4	3	0.325
55.4	4.5	0.245
55.4	6	0.2
55.4	7.5	0.15
55.4	9	0.31
55.4	10.5	0.45
55.4	12	0.535
55.4	13.5	0.655
55.4	15	0.8
55.4	16.5	0.875
55.4	18	0.895
55.4	19.5	0.785
55.4	21	0.625
55.4	22.5	0.535
55.4	24	0.31
55.4	25.5	0.295
55.4	27	0.205
55.4	28.5	0.225
55.4	30	0.24
55.4	31.5	0.395
55.4	33	0.435
55.4	34.5	0.68
55.4	36	0.835
55.4	37.5	0.88
55.4	39	0.845
55.4	40.5	0.775
55.4	42	0.655
55.4	43.5	0.485
55.4	45	0.355
55.4	46.5	0.29
55.4	48	0.225
55.4	49.5	0.25
55.4	51	0.335
55.4	52.5	0.36
55.4	54	0.31
55.4	55.5	0.505
55.4	57	0.69
55.4	58.5	0.81
55.4	60	0.82
55.4	61.5	0.785
55.4	63	0.67
55.4	64.5	0.55
55.4	66	0.455
55.4	67.5	0.28
55.4	69	0.255
55.4	70.5	0.225
55.4	72	0.27
55.4	73.5	0.31
55.4	75	0.4
55.4	76.5	0.49
55.4	78	0.58
55.4	79.5	0.67
55.4	81	0.78
55.4	82.5	0.765
55.4	84	0.845
55.4	85.5	0.695
55.4	87	0.59
55.4	88.5	0.43
55.4	90	0.41

55.3	0	0.655
55.3	1.5	0.415
55.3	3	0.325
55.3	4.5	0.305
55.3	6	0.14
55.3	7.5	0.21
55.3	9	0.255
55.3	10.5	0.415
55.3	12	0.52
55.3	13.5	0.73
55.3	15	0.88
55.3	16.5	0.91
55.3	18	0.9
55.3	19.5	0.735
55.3	21	0.67
55.3	22.5	0.4
55.3	24	0.265
55.3	25.5	0.245
55.3	27	0.16
55.3	28.5	0.145
55.3	30	0.355
55.3	31.5	0.385
55.3	33	0.645
55.3	34.5	0.72
55.3	36	0.81
55.3	37.5	0.845
55.3	39	0.82
55.3	40.5	0.73
55.3	42	0.68
55.3	43.5	0.505
55.3	45	0.415
