# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.8	19320	0.58
-1.8	19488	0.62
-1.8	19656	0.44
-1.8	19824	0.62
-1.8	19992	0.64
-1.8	20160	0.42
-1.8	20328	0.62
-1.8	20496	0.72
-1.8	20664	0.56
-1.8	20832	0.44
-1.8	21000	0.4
-1.8	21168	0.6
-1.8	21336	0.58
-1.8	21504	0.64
-1.8	21672	0.48
-1.8	21840	0.52
-1.8	22008	0.54
-1.8	22176	0.48
-1.8	22344	0.52
-1.8	22512	0.6
-1.8	22680	0.84
-1.8	22848	0.5
-1.8	23016	0.6
-1.8	23184	0.6
-1.8	23352	0.58
-1.8	23520	0.58
-1.8	23688	0.52
-1.8	23856	0.54
-1.8	24024	0.54
-1.8	24192	0.56
-1.8	24360	0.5
-1.8	24528	0.52
-1.8	24696	0.54
-1.8	24864	0.5
-1.8	25032	0.48
-1.8	25200	0.6
-1.8	25368	0.58
-1.8	25536	0.58
-1.8	25704	0.58
-1.8	25872	0.62
-1.8	26040	0.62
-1.8	26208	0.56
-1.8	26376	0.56
-1.8	26544	0.6
-1.8	26712	0.56
-1.8	26880	0.68
-1.8	27048	0.48
-1.8	27216	0.42
-1.8	27384	0.66
-1.8	27552	0.46
-1.8	27720	0.44
-1.8	27888	0.42
-1.8	28056	0.46
-1.8	28224	0.5
-1.8	28392	0.5
-1.8	28560	0.36
-1.8	28728	0.54
-1.8	28896	0.62
-1.8	29064	0.56
-1.8	29232	0.54
-1.8	29400	0.44
-1.8	29568	0.56
-1.8	29736	0.4
-1.8	29904	0.44
-1.8	30072	0.56
-1.8	30240	0.54
-1.8	30408	0.46
-1.8	30576	0.4
-1.8	30744	0.56
-1.8	30912	0.46
-1.8	31080	0.54
-1.8	31248	0.46
-1.8	31416	0.5
-1.8	31584	0.58
-1.8	31752	0.62
-1.8	31920	0.52
-1.8	32088	0.58
-1.8	32256	0.62
-1.8	32424	0.54
-1.8	32592	0.44
-1.8	32760	0.48
-1.8	32928	0.48
-1.8	33096	0.44
-1.8	33264	0.72
-1.8	33432	0.56
-1.8	33600	0.48

-1.7	0	0.94
-1.7	168	0.84
-1.7	336	0.82
-1.7	504	0.7
-1.7	672	0.48
-1.7	840	0.5
-1.7	1008	0.3
-1.7	1176	0.2
-1.7	1344	0.14
-1.7	1512	0.12
-1.7	1680	0.1
-1.7	1848	0.14
-1.7	2016	0.16
-1.7	2184	0.52
-1.7	2352	0.36
-1.7	2520	0.68
-1.7	2688	0.7
-1.7	2856	0.76
-1.7	3024	0.74
-1.7	3192	0.96
-1.7	3360	0.8
-1.7	3528	0.76
-1.7	3696	0.8
-1.7	3864	0.64
-1.7	4032	0.42
-1.7	4200	0.48
-1.7	4368	0.3
-1.7	4536	0.24
-1.7	4704	0.1
-1.7	4872	0.22
-1.7	5040	0.1
-1.7	5208	0.34
-1.7	5376	0.2
-1.7	5544	0.36
-1.7	5712	0.66
-1.7	5880	0.7
-1.7	6048	0.88
-1.7	6216	0.74
-1.7	6384	0.82
-1.7	6552	0.7
-1.7	6720	0.84
-1.7	6888	0.74
-1.7	7056	0.66
-1.7	7224	0.62
-1.7	7392	0.44
-1.7	7560	0.36
-1.7	7728	0.28
-1.7	7896	0.24
-1.7	8064	0.22
-1.7	8232	0.3
-1.7	8400	0.34
-1.7	8568	0.4
-1.7	8736	0.5
-1.7	8904	0.64
-1.7	9072	0.5
-1.7	9240	0.66
-1.7	9408	0.7
-1.7	9576	0.88
-1.7	9744	0.7
-1.7	9912	0.84
-1.7	10080	0.64
-1.7	10248	0.5
-1.7	10416	0.46
-1.7	10584	0.42
-1.7	10752	0.46
-1.7	10920	0.34
-1.7	11088	0.34
-1.7	11256	0.26
-1.7	11424	0.3
-1.7	11592	0.28
-1.7	11760	0.46
-1.7	11928	0.54
-1.7	12096	0.5
-1.7	12264	0.66
-1.7	12432	0.56
-1.7	12600	0.54
-1.7	12768	0.72
-1.7	12936	0.6
-1.7	13104	0.64
-1.7	13272	0.72
-1.7	13440	0.68
-1.7	13608	0.64
-1.7	13776	0.48
-1.7	13944	0.26
-1.7	14112	0.56
-1.7	14280	0.22
-1.7	14448	0.38
-1.7	14616	0.4
-1.7	14784	0.3
-1.7	14952	0.42
-1.7	15120	0.5
-1.7	15288	0.56
-1.7	15456	0.54
-1.7	15624	0.74
-1.7	15792	0.58
-1.7	15960	0.6
-1.7	16128	0.48
-1.7	16296	0.32
-1.7	16464	0.52
-1.7	16632	0.64
-1.7	16800	0.54
-1.7	16968	0.54
-1.7	17136	0.4
-1.7	17304	0.44
-1.7	17472	0.38
-1.7	17640	0.5
-1.7	17808	0.44
-1.7	17976	0.46
-1.7	18144	0.42
-1.7	18312	0.68
-1.7	18480	0.48
-1.7	18648	0.44
-1.7	18816	0.52
-1.7	18984	0.42
-1.7	19152	0.56
-1.7	19320	0.54
-1.7	19488	0.6
-1.7	19656	0.56
-1.7	19824	0.64
-1.7	19992	0.4
-1.7	20160	0.48
-1.7	20328	0.48
-1.7	20496	0.56
-1.7	20664	0.42
-1.7	20832	0.52
-1.7	21000	0.46
-1.7	21168	0.52
-1.7	21336	0.44
-1.7	21504	0.54
-1.7	21672	0.54
-1.7	21840	0.38
-1.7	22008	0.34
-1.7	22176	0.54
-1.7	22344	0.38
-1.7	22512	0.58
-1.7	22680	0.46
-1.7	22848	0.56
-1.7	23016	0.58
-1.7	23184	0.58
-1.7	23352	0.44
-1.7	23520	0.52
-1.7	23688	0.6
-1.7	23856	0.5
-1.7	24024	0.42
-1.7	24192	0.74
-1.7	24360	0.56
-1.7	24528	0.5
-1.7	24696	0.6
-1.7	24864	0.52
-1.7	25032	0.52
-1.7	25200	0.46
-1.7	25368	0.46
-1.7	25536	0.56
-1.7	25704	0.54
-1.7	25872	0.48
-1.7	26040	0.48
-1.7	26208	0.64
-1.7	26376	0.5
-1.7	26544	0.34
-1.7	26712	0.5
-1.7	26880	0.54
-1.7	27048	0.46
-1.7	27216	0.4
-1.7	27384	0.46
-1.7	27552	0.6
-1.7	27720	0.44
-1.7	27888	0.62
-1.7	28056	0.5
-1.7	28224	0.46
-1.7	28392	0.44
-1.7	28560	0.46
-1.7	28728	0.42
-1.7	28896	0.44
-1.7	29064	0.4
-1.7	29232	0.52
-1.7	29400	0.58
-1.7	29568	0.52
-1.7	29736	0.46
-1.7	29904	0.38
