# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.5	1656	0.28
-1.5	1725	0.56
-1.5	1794	0.64
-1.5	1863	0.72
-1.5	1932	0.9
-1.5	2001	0.9
-1.5	2070	0.82
-1.5	2139	0.74
-1.5	2208	0.88
-1.5	2277	0.68
-1.5	2346	0.5
-1.5	2415	0.36
-1.5	2484	0.18
-1.5	2553	0.32
-1.5	2622	0.26
-1.5	2691	0.3
-1.5	2760	0.26
-1.5	2829	0.48
-1.5	2898	0.72
-1.5	2967	0.76
-1.5	3036	0.86
-1.5	3105	0.86
-1.5	3174	0.82
-1.5	3243	0.84
-1.5	3312	0.84
-1.5	3381	0.44
-1.5	3450	0.44
-1.5	3519	0.4
-1.5	3588	0.26
-1.5	3657	0.24
-1.5	3726	0.48
-1.5	3795	0.42
-1.5	3864	0.48
-1.5	3933	0.78
-1.5	4002	0.76
-1.5	4071	0.68
-1.5	4140	0.8
-1.5	4209	0.8
-1.5	4278	0.78
-1.5	4347	0.72
-1.5	4416	0.62
-1.5	4485	0.34
-1.5	4554	0.36
-1.5	4623	0.26
-1.5	4692	0.42
-1.5	4761	0.24
-1.5	4830	0.36
-1.5	4899	0.58
-1.5	4968	0.54
-1.5	5037	0.76
-1.5	5106	0.86
-1.5	5175	0.58
-1.5	5244	0.74
-1.5	5313	0.68
-1.5	5382	0.86
-1.5	5451	0.64
-1.5	5520	0.66
-1.5	5589	0.4
-1.5	5658	0.42
-1.5	5727	0.42
-1.5	5796	0.34
-1.5	5865	0.26
-1.5	5934	0.44
-1.5	6003	0.3
-1.5	6072	0.34
-1.5	6141	0.56
-1.5	6210	0.66
-1.5	6279	0.78
-1.5	6348	0.82
-1.5	6417	0.6
-1.5	6486	0.56
-1.5	6555	0.42
-1.5	6624	0.26
-1.5	6693	0.4
-1.5	6762	0.44
-1.5	6831	0.4
-1.5	6900	0.54
-1.5	6969	0.44
-1.5	7038	0.72
-1.5	7107	0.46
-1.5	7176	0.6
-1.5	7245	0.72
-1.5	7314	0.62
-1.5	7383	0.72
-1.5	7452	0.72
-1.5	7521	0.72
-1.5	7590	0.56
-1.5	7659	0.38
-1.5	7728	0.42
