# Jon_vpB12_set	t_ramp_set	su00	su01	su10	su11
# "Jon_vpB12"	"t_ramp"	"su00"	"su01"	"su10"	"su11"
# 11	81
-67	20	0.126	0.016	0.802	0.056
-67	20.5	0.114	0.028	0.812	0.046
-67	21	0.118	0.028	0.806	0.048
-67	21.5	0.112	0.024	0.83	0.034
-67	22	0.106	0.008	0.834	0.052
-67	22.5	0.148	0.018	0.78	0.054
-67	23	0.136	0.01	0.818	0.036
-67	23.5	0.132	0.014	0.822	0.032
-67	24	0.132	0.014	0.808	0.046
-67	24.5	0.116	0.02	0.83	0.034
-67	25	0.106	0.012	0.832	0.05
-67	25.5	0.116	0.008	0.83	0.046
-67	26	0.112	0.02	0.816	0.052
-67	26.5	0.128	0.014	0.82	0.038
-67	27	0.13	0.012	0.81	0.048
-67	27.5	0.124	0.012	0.8	0.064
-67	28	0.118	0.01	0.826	0.046
-67	28.5	0.116	0.014	0.824	0.046
-67	29	0.128	0.02	0.794	0.058
-67	29.5	0.12	0.022	0.808	0.05
-67	30	0.118	0.016	0.806	0.06
-67	30.5	0.116	0.016	0.828	0.04
-67	31	0.118	0.01	0.834	0.038
-67	31.5	0.12	0.018	0.806	0.056
-67	32	0.116	0.014	0.806	0.064
-67	32.5	0.114	0.018	0.81	0.058
-67	33	0.106	0.018	0.836	0.04
-67	33.5	0.12	0.012	0.822	0.046
-67	34	0.128	0.024	0.798	0.05
-67	34.5	0.132	0.022	0.784	0.062
-67	35	0.13	0.018	0.802	0.05
-67	35.5	0.136	0.016	0.798	0.05
-67	36	0.134	0.02	0.806	0.04
-67	36.5	0.126	0.018	0.816	0.04
-67	37	0.102	0.018	0.826	0.054
-67	37.5	0.09	0.024	0.82	0.066
-67	38	0.12	0.016	0.828	0.036
-67	38.5	0.126	0.01	0.812	0.052
-67	39	0.11	0.028	0.82	0.042
-67	39.5	0.124	0.014	0.82	0.042
-67	40	0.144	0.028	0.77	0.058
-67	40.5	0.12	0.022	0.826	0.032
-67	41	0.13	0.016	0.814	0.04
-67	41.5	0.102	0.026	0.816	0.056
-67	42	0.136	0.026	0.762	0.076
-67	42.5	0.15	0.032	0.748	0.07
-67	43	0.164	0.02	0.762	0.054
-67	43.5	0.114	0.024	0.79	0.072
-67	44	0.106	0.022	0.8	0.072
-67	44.5	0.138	0.026	0.77	0.066
-67	45	0.1	0.02	0.834	0.046
-67	45.5	0.164	0.018	0.758	0.06
-67	46	0.112	0.012	0.83	0.046
-67	46.5	0.148	0.006	0.784	0.062
-67	47	0.112	0.016	0.82	0.052
-67	47.5	0.118	0.012	0.81	0.06
-67	48	0.132	0.024	0.792	0.052
-67	48.5	0.092	0.022	0.84	0.046
-67	49	0.13	0.016	0.8	0.054
-67	49.5	0.116	0.02	0.81	0.054
-67	50	0.122	0.044	0.772	0.062
-67	50.5	0.136	0.002	0.834	0.028
-67	51	0.114	0.012	0.828	0.046
-67	51.5	0.114	0.026	0.816	0.044
-67	52	0.118	0.034	0.778	0.07

-69	12	0.218	0.156	0.574	0.052
-69	12.5	0.312	0.064	0.568	0.056
-69	13	0.192	0.064	0.686	0.058
-69	13.5	0.112	0.472	0.37	0.046
-69	14	0.0599999999999999	0.842	0.046	0.052
-69	14.5	0.098	0.44	0.42	0.042
-69	15	0.122	0.066	0.768	0.044
-69	15.5	0.112	0.052	0.792	0.044
-69	16	0.0919999999999999	0.092	0.77	0.046
-69	16.5	0.112	0.034	0.8	0.054
-69	17	0.09	0.016	0.83	0.064
-69	17.5	0.096	0.03	0.824	0.05
-69	18	0.092	0.024	0.84	0.044
-69	18.5	0.112	0.016	0.834	0.038
-69	19	0.104	0.034	0.804	0.058
-69	19.5	0.094	0.026	0.82	0.06
-69	20	0.086	0.016	0.84	0.058
-69	20.5	0.098	0.018	0.84	0.044
-69	21	0.12	0.02	0.794	0.066
-69	21.5	0.114	0.008	0.832	0.046
-69	22	0.096	0.008	0.842	0.054
-69	22.5	0.112	0.01	0.812	0.066
-69	23	0.112	0.014	0.834	0.04
-69	23.5	0.102	0.016	0.834	0.048
-69	24	0.098	0.014	0.844	0.044
-69	24.5	0.096	0.012	0.854	0.038
-69	25	0.102	0.016	0.82	0.062
-69	25.5	0.116	0.012	0.826	0.046
-69	26	0.122	0.016	0.828	0.034
-69	26.5	0.13	0.026	0.774	0.07
-69	27	0.108	0.006	0.834	0.052
-69	27.5	0.108	0.016	0.828	0.048
-69	28	0.106	0.008	0.84	0.046
-69	28.5	0.114	0.024	0.802	0.06
-69	29	0.106	0.012	0.836	0.046
-69	29.5	0.116	0.01	0.828	0.046
-69	30	0.118	0.016	0.808	0.058
-69	30.5	0.126	0.02	0.81	0.044
-69	31	0.104	0.008	0.828	0.06
-69	31.5	0.104	0.016	0.828	0.052
-69	32	0.122	0.01	0.808	0.06
-69	32.5	0.13	0.008	0.808	0.054
-69	33	0.106	0.018	0.836	0.04
-69	33.5	0.11	0.01	0.832	0.048
-69	34	0.112	0.01	0.844	0.034
-69	34.5	0.146	0.016	0.788	0.05
-69	35	0.102	0.026	0.822	0.05
-69	35.5	0.132	0.016	0.81	0.042
-69	36	0.134	0.006	0.812	0.048
-69	36.5	0.12	0.018	0.838	0.024
-69	37	0.0979999999999999	0.04	0.806	0.056
-69	37.5	0.104	0.028	0.806	0.062
-69	38	0.112	0.026	0.798	0.064
-69	38.5	0.128	0.028	0.808	0.036
-69	39	0.116	0.024	0.794	0.066
-69	39.5	0.108	0.02	0.818	0.054
-69	40	0.112	0.016	0.814	0.058
-69	40.5	0.108	0.012	0.81	0.07
-69	41	0.118	0.016	0.816	0.05
-69	41.5	0.132	0.01	0.808	0.05
-69	42	0.108	0.014	0.8	0.078
-69	42.5	0.126	0.012	0.822	0.04
-69	43	0.154	0.016	0.784	0.046
-69	43.5	0.154	0.03	0.774	0.042
-69	44	0.128	0.012	0.812	0.048
-69	44.5	0.116	0.016	0.828	0.04
-69	45	0.116	0.018	0.816	0.05
-69	45.5	0.122	0.018	0.814	0.046
-69	46	0.158	0.014	0.784	0.044
-69	46.5	0.12	0.012	0.81	0.058
-69	47	0.134	0.026	0.794	0.046
-69	47.5	0.128	0.024	0.796	0.052
-69	48	0.13	0.028	0.78	0.062
-69	48.5	0.122	0.026	0.806	0.046
-69	49	0.128	0.02	0.786	0.066
-69	49.5	0.132	0.03	0.77	0.068
-69	50	0.138	0.022	0.798	0.042
-69	50.5	0.106	0.028	0.822	0.044
-69	51	0.118	0.024	0.796	0.062
-69	51.5	0.136	0.026	0.778	0.06
-69	52	0.136	0.014	0.766	0.084

-71	12	0.172	0.198	0.582	0.048
-71	12.5	0.308	0.07	0.57	0.052
-71	13	0.232	0.094	0.638	0.036
-71	13.5	0.11	0.486	0.344	0.06
-71	14	0.088	0.818	0.056	0.038
-71	14.5	0.104	0.416	0.418	0.062
-71	15	0.0939999999999999	0.048	0.796	0.062
-71	15.5	0.0979999999999999	0.058	0.798	0.046
-71	16	0.0779999999999999	0.1	0.766	0.056
-71	16.5	0.102	0.03	0.824	0.044
-71	17	0.0899999999999999	0.044	0.796	0.07
-71	17.5	0.0979999999999999	0.044	0.808	0.05
-71	18	0.102	0.016	0.836	0.046
-71	18.5	0.136	0.018	0.796	0.05
-71	19	0.11	0.024	0.808	0.058
-71	19.5	0.098	0.03	0.826	0.046
-71	20	0.132	0.016	0.796	0.056
-71	20.5	0.122	0.022	0.81	0.046
-71	21	0.136	0.012	0.794	0.058
-71	21.5	0.108	0.01	0.808	0.074
-71	22	0.12	0.018	0.8	0.062
-71	22.5	0.12	0.02	0.812	0.048
-71	23	0.154	0.018	0.786	0.042
-71	23.5	0.108	0.022	0.826	0.044
-71	24	0.114	0.018	0.83	0.038
-71	24.5	0.124	0.016	0.818	0.042
-71	25	0.132	0.018	0.81	0.04
-71	25.5	0.124	0.022	0.8	0.054
-71	26	0.118	0.036	0.8	0.046
-71	26.5	0.142	0.02	0.778	0.06
-71	27	0.136	0.012	0.776	0.076
-71	27.5	0.108	0.022	0.818	0.052
-71	28	0.118	0.02	0.812	0.05
-71	28.5	0.112	0.012	0.82	0.056
-71	29	0.114	0.02	0.82	0.046
-71	29.5	0.124	0.01	0.828	0.038
-71	30	0.122	0.016	0.82	0.042
-71	30.5	0.114	0.016	0.83	0.04
-71	31	0.128	0.016	0.808	0.048
-71	31.5	0.112	0.038	0.798	0.052
-71	32	0.08	0.032	0.822	0.066
-71	32.5	0.126	0.016	0.802	0.056
-71	33	0.146	0.012	0.808	0.034
-71	33.5	0.132	0.02	0.808	0.04
-71	34	0.09	0.024	0.832	0.054
-71	34.5	0.104	0.02	0.82	0.056
-71	35	0.116	0.014	0.818	0.052
-71	35.5	0.078	0.022	0.838	0.062
-71	36	0.12	0.028	0.792	0.06
-71	36.5	0.128	0.04	0.758	0.074
-71	37	0.126	0.032	0.784	0.058
-71	37.5	0.114	0.028	0.812	0.046
-71	38	0.114	0.024	0.81	0.052
-71	38.5	0.132	0.03	0.784	0.054
-71	39	0.11	0.032	0.806	0.052
-71	39.5	0.126	0.018	0.806	0.05
-71	40	0.108	0.01	0.83	0.052
-71	40.5	0.14	0.02	0.802	0.038
-71	41	0.098	0.012	0.808	0.082
-71	41.5	0.104	0.018	0.806	0.072
-71	42	0.118	0.016	0.81	0.056
-71	42.5	0.112	0.02	0.818	0.05
-71	43	0.162	0.014	0.786	0.038
-71	43.5	0.124	0.022	0.816	0.038
-71	44	0.092	0.014	0.834	0.06
-71	44.5	0.124	0.008	0.806	0.062
-71	45	0.118	0.01	0.804	0.068
-71	45.5	0.148	0.024	0.786	0.042
-71	46	0.138	0.02	0.774	0.068
-71	46.5	0.138	0.016	0.774	0.072
-71	47	0.168	0.02	0.754	0.058
-71	47.5	0.142	0.016	0.796	0.046
-71	48	0.124	0.026	0.792	0.058
-71	48.5	0.116	0.018	0.81	0.056
-71	49	0.124	0.018	0.812	0.046
-71	49.5	0.102	0.014	0.838	0.046
-71	50	0.126	0.026	0.814	0.034
-71	50.5	0.124	0.03	0.77	0.076
-71	51	0.122	0.012	0.804	0.062
-71	51.5	0.122	0.01	0.794	0.074
-71	52	0.13	0.016	0.8	0.054

-73	12	0.18	0.248	0.508	0.064
-73	12.5	0.38	0.046	0.52	0.054
-73	13	0.244	0.112	0.586	0.058
-73	13.5	0.124	0.558	0.274	0.044
-73	14	0.088	0.67	0.216	0.026
-73	14.5	0.0959999999999999	0.22	0.644	0.04
-73	15	0.126	0.018	0.804	0.052
-73	15.5	0.112	0.108	0.724	0.056
-73	16	0.12	0.082	0.754	0.044
-73	16.5	0.118	0.026	0.812	0.044
-73	17	0.132	0.022	0.758	0.088
-73	17.5	0.0939999999999999	0.044	0.81	0.052
-73	18	0.11	0.01	0.818	0.062
-73	18.5	0.108	0.02	0.844	0.028
-73	19	0.092	0.024	0.84	0.044
-73	19.5	0.112	0.016	0.824	0.048
-73	20	0.114	0.016	0.812	0.058
-73	20.5	0.124	0.022	0.806	0.048
-73	21	0.12	0.016	0.816	0.048
-73	21.5	0.122	0.024	0.808	0.046
-73	22	0.082	0.016	0.86	0.042
-73	22.5	0.12	0.02	0.794	0.066
-73	23	0.132	0.022	0.798	0.048
-73	23.5	0.158	0.026	0.782	0.034
-73	24	0.104	0.01	0.84	0.046
-73	24.5	0.126	0.018	0.816	0.04
-73	25	0.118	0.024	0.81	0.048
-73	25.5	0.126	0.05	0.784	0.04
-73	26	0.098	0.038	0.83	0.034
-73	26.5	0.102	0.022	0.804	0.072
-73	27	0.122	0.028	0.8	0.05
-73	27.5	0.108	0.022	0.804	0.066
-73	28	0.112	0.012	0.832	0.044
-73	28.5	0.096	0.012	0.846	0.046
-73	29	0.132	0.022	0.808	0.038
-73	29.5	0.1	0.02	0.836	0.044
-73	30	0.092	0.018	0.858	0.032
-73	30.5	0.132	0.026	0.8	0.042
-73	31	0.138	0.014	0.796	0.052
-73	31.5	0.126	0.018	0.774	0.082
-73	32	0.128	0.008	0.796	0.068
-73	32.5	0.126	0.018	0.83	0.026
-73	33	0.132	0.016	0.794	0.058
-73	33.5	0.158	0.02	0.77	0.052
-73	34	0.136	0.012	0.812	0.04
-73	34.5	0.122	0.022	0.808	0.048
-73	35	0.102	0.018	0.846	0.034
-73	35.5	0.128	0.036	0.802	0.034
-73	36	0.116	0.036	0.766	0.082
-73	36.5	0.112	0.028	0.766	0.094
-73	37	0.122	0.036	0.786	0.056
-73	37.5	0.14	0.038	0.752	0.07
-73	38	0.132	0.018	0.794	0.056
-73	38.5	0.15	0.016	0.798	0.036
-73	39	0.112	0.012	0.838	0.038
-73	39.5	0.138	0.026	0.792	0.044
-73	40	0.112	0.02	0.812	0.056
-73	40.5	0.128	0.02	0.802	0.05
-73	41	0.14	0.014	0.768	0.078
-73	41.5	0.116	0.018	0.8	0.066
-73	42	0.134	0.022	0.778	0.066
-73	42.5	0.126	0.02	0.794	0.06
-73	43	0.102	0.016	0.832	0.05
-73	43.5	0.136	0.026	0.78	0.058
-73	44	0.158	0.012	0.79	0.04
-73	44.5	0.17	0.016	0.762	0.052
-73	45	0.146	0.022	0.774	0.058
-73	45.5	0.124	0.024	0.8	0.052
-73	46	0.114	0.03	0.76	0.096
-73	46.5	0.11	0.012	0.844	0.034
-73	47	0.128	0.016	0.814	0.042
-73	47.5	0.134	0.026	0.786	0.054
-73	48	0.138	0.03	0.778	0.054
-73	48.5	0.114	0.042	0.794	0.05
-73	49	0.0999999999999999	0.05	0.802	0.048
-73	49.5	0.124	0.018	0.788	0.07
-73	50	0.124	0.008	0.804	0.064
-73	50.5	0.132	0.018	0.758	0.092
-73	51	0.176	0.028	0.724	0.072
-73	51.5	0.106	0.02	0.828	0.046
-73	52	0.148	0.032	0.78	0.04

-75	12	0.158	0.232	0.538	0.072
-75	12.5	0.44	0.032	0.472	0.056
-75	13	0.28	0.14	0.522	0.058
-75	13.5	0.216	0.386	0.364	0.034
-75	14	0.152	0.432	0.368	0.048
-75	14.5	0.12	0.064	0.764	0.052
-75	15	0.122	0.062	0.762	0.054
-75	15.5	0.128	0.15	0.672	0.05
-75	16	0.0959999999999999	0.064	0.796	0.044
-75	16.5	0.132	0.03	0.774	0.064
-75	17	0.0959999999999999	0.042	0.812	0.05
-75	17.5	0.1	0.03	0.82	0.05
-75	18	0.108	0.022	0.808	0.062
-75	18.5	0.118	0.024	0.804	0.054
-75	19	0.118	0.026	0.8	0.056
-75	19.5	0.142	0.03	0.792	0.036
-75	20	0.142	0.028	0.774	0.056
-75	20.5	0.116	0.02	0.824	0.04
-75	21	0.126	0.03	0.788	0.056
-75	21.5	0.118	0.016	0.794	0.072
-75	22	0.126	0.016	0.804	0.054
-75	22.5	0.154	0.02	0.782	0.044
-75	23	0.142	0.012	0.792	0.054
-75	23.5	0.138	0.014	0.802	0.046
-75	24	0.14	0.03	0.786	0.044
-75	24.5	0.11	0.074	0.768	0.048
-75	25	0.124	0.094	0.742	0.04
-75	25.5	0.0999999999999999	0.076	0.756	0.068
-75	26	0.126	0.042	0.768	0.064
-75	26.5	0.12	0.028	0.788	0.064
-75	27	0.132	0.024	0.806	0.038
-75	27.5	0.124	0.018	0.818	0.04
-75	28	0.148	0.012	0.806	0.034
-75	28.5	0.134	0.016	0.802	0.048
-75	29	0.124	0.024	0.814	0.038
-75	29.5	0.164	0.026	0.736	0.074
-75	30	0.124	0.016	0.816	0.044
-75	30.5	0.134	0.024	0.782	0.06
-75	31	0.132	0.022	0.762	0.084
-75	31.5	0.138	0.022	0.754	0.086
-75	32	0.136	0.012	0.804	0.048
-75	32.5	0.148	0.02	0.79	0.042
-75	33	0.114	0.018	0.804	0.064
-75	33.5	0.136	0.042	0.77	0.052
-75	34	0.172	0.028	0.72	0.08
-75	34.5	0.166	0.016	0.778	0.04
-75	35	0.118	0.028	0.78	0.074
-75	35.5	0.124	0.032	0.788	0.056
-75	36	0.092	0.032	0.792	0.084
-75	36.5	0.13	0.04	0.772	0.058
-75	37	0.132	0.04	0.77	0.058
-75	37.5	0.128	0.032	0.8	0.04
-75	38	0.142	0.014	0.788	0.056
-75	38.5	0.116	0.024	0.814	0.046
-75	39	0.132	0.02	0.79	0.058
-75	39.5	0.144	0.012	0.79	0.054
-75	40	0.118	0.014	0.808	0.06
-75	40.5	0.138	0.028	0.764	0.07
-75	41	0.14	0.028	0.78	0.052
-75	41.5	0.132	0.036	0.762	0.07
-75	42	0.138	0.032	0.754	0.076
-75	42.5	0.152	0.014	0.78	0.054
-75	43	0.156	0.026	0.768	0.05
-75	43.5	0.15	0.038	0.75	0.062
-75	44	0.17	0.022	0.748	0.06
-75	44.5	0.176	0.024	0.726	0.074
-75	45	0.142	0.028	0.78	0.05
-75	45.5	0.134	0.014	0.774	0.078
-75	46	0.138	0.016	0.8	0.046
-75	46.5	0.14	0.03	0.766	0.064
-75	47	0.136	0.034	0.79	0.04
-75	47.5	0.148	0.038	0.77	0.044
-75	48	0.134	0.042	0.78	0.044
-75	48.5	0.152	0.032	0.754	0.062
-75	49	0.12	0.018	0.816	0.046
-75	49.5	0.106	0.03	0.824	0.04
-75	50	0.132	0.018	0.782	0.068
-75	50.5	0.128	0.018	0.756	0.098
-75	51	0.154	0.008	0.784	0.054
-75	51.5	0.14	0.022	0.758	0.08
-75	52	0.152	0.032	0.756	0.06

-77	12	0.122	0.3	0.508	0.07
-77	12.5	0.402	0.05	0.482	0.066
-77	13	0.32	0.106	0.538	0.036
-77	13.5	0.196	0.264	0.5	0.04
-77	14	0.252	0.408	0.31	0.03
-77	14.5	0.1	0.034	0.814	0.052
-77	15	0.128	0.104	0.706	0.062
-77	15.5	0.098	0.142	0.704	0.056
-77	16	0.134	0.048	0.764	0.054
-77	16.5	0.106	0.022	0.814	0.058
-77	17	0.09	0.04	0.768	0.102
-77	17.5	0.122	0.026	0.808	0.044
-77	18	0.106	0.026	0.828	0.04
-77	18.5	0.092	0.022	0.822	0.064
-77	19	0.09	0.018	0.846	0.046
-77	19.5	0.132	0.014	0.82	0.034
-77	20	0.122	0.03	0.802	0.046
-77	20.5	0.134	0.024	0.798	0.044
-77	21	0.102	0.018	0.832	0.048
-77	21.5	0.134	0.026	0.766	0.074
-77	22	0.114	0.018	0.83	0.038
-77	22.5	0.126	0.032	0.794	0.048
-77	23	0.142	0.028	0.784	0.046
-77	23.5	0.198	0.034	0.724	0.044
-77	24	0.146	0.096	0.694	0.064
-77	24.5	0.122	0.202	0.634	0.042
-77	25	0.102	0.166	0.666	0.066
-77	25.5	0.108	0.06	0.78	0.052
-77	26	0.106	0.022	0.79	0.082
-77	26.5	0.118	0.014	0.81	0.058
-77	27	0.126	0.03	0.792	0.052
-77	27.5	0.122	0.024	0.8	0.054
-77	28	0.104	0.02	0.842	0.034
-77	28.5	0.114	0.008	0.836	0.042
-77	29	0.128	0.03	0.81	0.032
-77	29.5	0.114	0.014	0.828	0.044
-77	30	0.122	0.028	0.798	0.052
-77	30.5	0.0880000000000001	0.016	0.822	0.074
-77	31	0.118	0.028	0.782	0.072
-77	31.5	0.148	0.014	0.798	0.04
-77	32	0.106	0.012	0.832	0.05
-77	32.5	0.106	0.016	0.818	0.06
-77	33	0.128	0.038	0.774	0.06
-77	33.5	0.172	0.018	0.76	0.05
-77	34	0.16	0.024	0.766	0.05
-77	34.5	0.162	0.012	0.776	0.05
-77	35	0.136	0.026	0.802	0.036
-77	35.5	0.108	0.048	0.748	0.096
-77	36	0.0999999999999999	0.05	0.798	0.052
-77	36.5	0.0899999999999999	0.052	0.806	0.052
-77	37	0.152	0.016	0.786	0.046
-77	37.5	0.122	0.03	0.818	0.03
-77	38	0.13	0.022	0.804	0.044
-77	38.5	0.136	0.012	0.806	0.046
-77	39	0.128	0.014	0.812	0.046
-77	39.5	0.132	0.026	0.79	0.052
-77	40	0.128	0.04	0.774	0.058
-77	40.5	0.136	0.03	0.764	0.07
-77	41	0.14	0.026	0.79	0.044
-77	41.5	0.124	0.016	0.804	0.056
-77	42	0.116	0.028	0.822	0.034
-77	42.5	0.116	0.016	0.82	0.048
-77	43	0.106	0.014	0.836	0.044
-77	43.5	0.108	0.014	0.838	0.04
-77	44	0.148	0.016	0.808	0.028
-77	44.5	0.194	0.024	0.724	0.058
-77	45	0.136	0.026	0.738	0.1
-77	45.5	0.138	0.03	0.768	0.064
-77	46	0.14	0.022	0.788	0.05
-77	46.5	0.126	0.024	0.8	0.05
-77	47	0.108	0.038	0.812	0.042
-77	47.5	0.114	0.062	0.768	0.056
-77	48	0.12	0.038	0.79	0.052
-77	48.5	0.118	0.024	0.816	0.042
-77	49	0.184	0.034	0.71	0.072
-77	49.5	0.124	0.028	0.77	0.078
-77	50	0.148	0.026	0.77	0.056
-77	50.5	0.156	0.026	0.736	0.082
-77	51	0.158	0.036	0.718	0.088
-77	51.5	0.162	0.024	0.742	0.072
-77	52	0.176	0.038	0.716	0.07

-79	12	0.09	0.264	0.586	0.06
-79	12.5	0.39	0.034	0.532	0.044
-79	13	0.272	0.142	0.53	0.056
-79	13.5	0.282	0.106	0.586	0.026
-79	14	0.526	0.126	0.312	0.036
-79	14.5	0.148	0.038	0.764	0.05
-79	15	0.128	0.168	0.676	0.028
-79	15.5	0.144	0.108	0.67	0.078
-79	16	0.1	0.02	0.82	0.06
-79	16.5	0.142	0.052	0.728	0.078
-79	17	0.104	0.046	0.786	0.064
-79	17.5	0.114	0.018	0.828	0.04
-79	18	0.128	0.018	0.816	0.038
-79	18.5	0.118	0.02	0.818	0.044
-79	19	0.14	0.022	0.788	0.05
-79	19.5	0.166	0.024	0.764	0.046
-79	20	0.128	0.022	0.8	0.05
-79	20.5	0.102	0.014	0.832	0.052
-79	21	0.11	0.022	0.772	0.096
-79	21.5	0.0880000000000001	0.018	0.814	0.08
-79	22	0.148	0.024	0.778	0.05
-79	22.5	0.114	0.036	0.804	0.046
-79	23	0.12	0.038	0.76	0.082
-79	23.5	0.196	0.044	0.706	0.054
-79	24	0.2	0.31	0.44	0.05
-79	24.5	0.172	0.284	0.496	0.048
-79	25	0.114	0.172	0.664	0.05
-79	25.5	0.142	0.048	0.724	0.086
-79	26	0.14	0.028	0.758	0.074
-79	26.5	0.126	0.022	0.802	0.05
-79	27	0.134	0.016	0.8	0.05
-79	27.5	0.116	0.04	0.79	0.054
-79	28	0.122	0.024	0.814	0.04
-79	28.5	0.134	0.02	0.776	0.07
-79	29	0.124	0.03	0.79	0.056
-79	29.5	0.126	0.01	0.802	0.062
-79	30	0.128	0.016	0.774	0.082
-79	30.5	0.132	0.018	0.736	0.114
-79	31	0.134	0.016	0.782	0.068
-79	31.5	0.134	0.03	0.752	0.084
-79	32	0.104	0.036	0.812	0.048
-79	32.5	0.122	0.016	0.804	0.058
-79	33	0.14	0.016	0.8	0.044
-79	33.5	0.144	0.02	0.794	0.042
-79	34	0.152	0.026	0.772	0.05
-79	34.5	0.18	0.016	0.74	0.064
-79	35	0.142	0.044	0.71	0.104
-79	35.5	0.178	0.046	0.72	0.056
-79	36	0.132	0.026	0.816	0.026
-79	36.5	0.132	0.018	0.762	0.088
-79	37	0.122	0.016	0.818	0.044
-79	37.5	0.134	0.026	0.8	0.04
-79	38	0.134	0.022	0.78	0.064
-79	38.5	0.146	0.022	0.776	0.056
-79	39	0.154	0.018	0.75	0.078
-79	39.5	0.13	0.018	0.762	0.09
